movie,nation,2020/01/05,2020/01/12,2020/01/19,2020/01/26,2020/02/02,2020/02/09,2020/02/16,2020/02/23,2020/03/01,2020/03/08,2020/03/15,2020/03/22,2020/03/29,2020/04/05,2020/04/12,2020/04/19,2020/04/26,2020/05/03,2020/05/10,2020/05/17,2020/05/24,2020/05/31,2020/06/07,2020/06/14,2020/06/21,2020/06/28,2020/07/05,2020/07/12,2020/07/19,2020/07/26,2020/08/02,2020/08/09,2020/08/16,2020/08/23,2020/08/30,2020/09/06,2020/09/13,2020/09/20,2020/09/27,2020/10/04,2020/10/11,2020/10/18,2020/10/25,2020/11/01,2020/11/08,2020/11/15,2020/11/22,2020/11/29,2020/12/06,2020/12/13,2020/12/20,2020/12/27
喜從天降,中華民國,0,0,0,0,6512,421,0,0,0,0,0,0,0,24,20,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
失路人,中華民國,0,0,0,0,0,0,0,0,516,318,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
女鬼橋,中華民國,0,0,0,0,0,0,0,0,0,77840,44820,17039,6973,3001,894,470,215,83,82,64,34,484,530,321,183,183,106,106,90,79,46,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
狂飆一夢,中華民國,0,0,0,0,0,0,0,0,0,493,583,204,100,54,4,5,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
練愛iNG,中華民國,0,0,0,0,0,0,0,0,0,0,0,13947,7439,3135,1069,656,232,100,33,20,0,0,203,327,191,91,20,8,0,0,0,0,0,0,0,0,24,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0
我不流行二十年,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,308,210,109,67,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
燒肉粽2019,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前世情人的情人,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
老娘就要這麼活,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,157,154,118,50,775,209,263,3,2,267,1,1,2,1,43,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一一,中華民國,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,198,76,36,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
