職業,1980/01,1980/02,1980/03,1980/04,1980/05,1980/06,1980/07,1980/08,1980/09,1980/10,1980/11,1980/12,1981/01,1981/02,1981/03,1981/04,1981/05,1981/06,1981/07,1981/08,1981/09,1981/10,1981/11,1981/12,1982/01,1982/02,1982/03,1982/04,1982/05,1982/06,1982/07,1982/08,1982/09,1982/10,1982/11,1982/12,1983/01,1983/02,1983/03,1983/04,1983/05,1983/06,1983/07,1983/08,1983/09,1983/10,1983/11,1983/12,1984/01,1984/02,1984/03,1984/04,1984/05,1984/06,1984/07,1984/08,1984/09,1984/10,1984/11,1984/12,1985/01,1985/02,1985/03,1985/04,1985/05,1985/06,1985/07,1985/08,1985/09,1985/10,1985/11,1985/12,1986/01,1986/02,1986/03,1986/04,1986/05,1986/06,1986/07,1986/08,1986/09,1986/10,1986/11,1986/12,1987/01,1987/02,1987/03,1987/04,1987/05,1987/06,1987/07,1987/08,1987/09,1987/10,1987/11,1987/12,1988/01,1988/02,1988/03,1988/04,1988/05,1988/06,1988/07,1988/08,1988/09,1988/10,1988/11,1988/12,1989/01,1989/02,1989/03,1989/04,1989/05,1989/06,1989/07,1989/08,1989/09,1989/10,1989/11,1989/12,1990/01,1990/02,1990/03,1990/04,1990/05,1990/06,1990/07,1990/08,1990/09,1990/10,1990/11,1990/12,1991/01,1991/02,1991/03,1991/04,1991/05,1991/06,1991/07,1991/08,1991/09,1991/10,1991/11,1991/12,1992/01,1992/02,1992/03,1992/04,1992/05,1992/06,1992/07,1992/08,1992/09,1992/10,1992/11,1992/12,1993/01,1993/02,1993/03,1993/04,1993/05,1993/06,1993/07,1993/08,1993/09,1993/10,1993/11,1993/12,1994/01,1994/02,1994/03,1994/04,1994/05,1994/06,1994/07,1994/08,1994/09,1994/10,1994/11,1994/12,1995/01,1995/02,1995/03,1995/04,1995/05,1995/06,1995/07,1995/08,1995/09,1995/10,1995/11,1995/12,1996/01,1996/02,1996/03,1996/04,1996/05,1996/06,1996/07,1996/08,1996/09,1996/10,1996/11,1996/12,1997/01,1997/02,1997/03,1997/04,1997/05,1997/06,1997/07,1997/08,1997/09,1997/10,1997/11,1997/12,1998/01,1998/02,1998/03,1998/04,1998/05,1998/06,1998/07,1998/08,1998/09,1998/10,1998/11,1998/12,1999/01,1999/02,1999/03,1999/04,1999/05,1999/06,1999/07,1999/08,1999/09,1999/10,1999/11,1999/12,2000/01,2000/02,2000/03,2000/04,2000/05,2000/06,2000/07,2000/08,2000/09,2000/10,2000/11,2000/12,2001/01,2001/02,2001/03,2001/04,2001/05,2001/06,2001/07,2001/08,2001/09,2001/10,2001/11,2001/12,2002/01,2002/02,2002/03,2002/04,2002/05,2002/06,2002/07,2002/08,2002/09,2002/10,2002/11,2002/12,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11
工業及服務業,6984,7042,7157,7238,7437,7518,7834,8077,8219,8410,8473,8612,8943,9158,8950,9232,9387,9412,9635,9846,9963,10071,10077,10138,10241,10158,10262,10308,10415,10410,10430,10444,10491,10459,10496,10649,10501,10425,10746,10817,11023,11007,11026,11163,11271,11285,11340,11546,11595,11291,11792,11878,11981,11924,12037,12170,12138,12280,12321,12470,12371,11786,12304,12424,12498,12445,12664,12613,12634,12805,12863,13008,13186,12419,13151,13125,13250,13175,13285,13273,13251,13512,13454,13726,13561,13390,13826,13911,14048,14003,14254,14461,14508,14621,14678,14884,14953,14466,15115,15195,15334,15330,15577,15842,15960,16118,16288,16489,16598,16047,16897,16905,17196,17202,17815,18043,18076,18413,18496,18760,18659,18617,19215,19256,19488,19454,20159,20406,20537,20818,20878,21056,21379,20645,21388,21510,21777,21774,22156,22458,22525,22806,22838,22991,23322,22664,23507,23601,23784,23756,23932,24115,24223,24489,24489,24847,24539,24738,25198,25300,25535,25477,25667,25853,25879,26099,26190,26541,26685,25785,26707,26806,27050,27001,27139,27245,27299,27492,27592,27851,27865,27230,28026,28038,28399,28213,28447,28674,28701,28851,28908,29116,29343,28727,29302,29498,29735,29611,29762,29928,29960,30181,30205,30412,30653,29834,30742,30920,31048,30854,31098,30931,30939,31290,31266,31542,31317,31320,31858,31896,32024,31922,32067,32037,32090,32131,32118,32365,32580,31822,32636,32930,33068,33102,33156,33223,32783,33316,33574,33989,34031,32925,33786,33826,33952,34020,34026,34029,33961,34181,34098,34261,34081,34077,34436,34146,34203,34321,34749,35018,34388,34668,34795,34930,35049,33996,34712,34947,34858,34694,34787,34909,34579,34734,34615,35060,35039,34165,34631,34725,34534,34690,35171,34897,34862,34942,34787,35187,34856,34945,35097,35105,35072,34956,35053,35046,35087,35175,35247,35501,35571,34465,35448,35382,35483,35362,35294,35442,35362,35442,35538,35781,35823,35148,35608,35637,35709,35636,35648,35810,35871,35785,35884,36120,36232,35558,36164,36129,36271,36276,36291,36741,36417,36543,36535,36633,36803,36207,36556,36703,36684,36517,36522,36525,36586,36513,35597,35366,34913,35094,35489,35563,35539,35688,35662,35641,35792,35896,35876,36306,36233,35559,36072,36206,36233,36245,36168,36270,36273,36438,36394,36677,36684,36049,36555,36630,36687,36585,36695,36879,36939,37017,36916,37157,36955,36975,37284,37324,37340,37255,37285,37080,37107,37201,37167,37343,37516,37071,37457,37506,37585,37545,37607,37646,37585,37637,37621,37842,37961,37554,37965,38073,38116,38204,38529,38293,38385,38483,38286,38726,38553,38156,38523,38596,38636,38826,38863,38770,38742,38932,38823,39111,39125,38625,39185,39213,39236,39125,39176,39282,39106,39338,39434,39697,39650,39345,39754,39800,39860,39842,39850,40030,40086,40175,40195,40530,40753,40433,40757,40714,40882,40810,40935,41220,41139,41229,41239,41378,41588,41134,41550,41644,41780,41654,41847,41992,41769,41968,41992,42380,42249,42209,42201,42026,42091,42226,42380,42521,42635,42651,42657,42865,43116,42821,43212,43188,42838,42607,42902,43209,43379,43590,43643
男性,8031,8050,8151,8311,8484,8573,9089,9308,9465,9663,9708,9880,10542,10850,10593,10876,11061,11092,11369,11584,11657,11827,11805,11908,12098,12200,12209,12252,12313,12312,12364,12355,12400,12367,12401,12556,12368,12371,12664,12749,13010,12985,13051,13273,13377,13380,13410,13616,13607,13294,13904,14003,14093,14063,14242,14389,14342,14492,14546,14657,14567,14004,14528,14688,14752,14663,15021,14971,14966,15138,15228,15372,15520,14710,15486,15427,15546,15437,15586,15599,15528,15825,15780,16063,15940,15745,16172,16271,16410,16326,16669,16904,16959,17082,17121,17349,17455,16931,17634,17720,17871,17872,18242,18565,18701,18903,19091,19319,19489,18841,19774,19787,20086,20074,20864,21182,21226,21557,21644,21898,21807,21726,22406,22417,22682,22590,23556,23787,23933,24261,24334,24530,24907,24034,24918,25061,25355,25321,25810,26155,26218,26537,26578,26725,27169,26350,27368,27449,27632,27634,27869,28138,28236,28522,28568,28961,28540,28819,29312,29411,29657,29562,29843,30035,30039,30309,30389,30793,30968,29766,30916,30968,31242,31153,31333,31425,31451,31648,31797,32011,31938,31142,32143,32088,32578,32344,32591,32838,32838,33005,33047,33228,33507,32683,33428,33670,33898,33803,33999,34188,34215,34478,34492,34681,34939,33871,34990,35104,35328,34987,35265,35090,35128,35564,35473,35724,35415,35300,35983,35928,36022,35959,36172,36163,36164,36214,36227,36455,36675,35753,36745,37061,37199,37256,37288,37350,36834,37371,37668,37980,38088,36800,37763,37839,38086,38070,38138,38165,38181,38315,38163,38243,37902,38088,38564,38196,38280,38104,38416,38603,38139,38502,38505,38640,38735,37550,38445,38615,38665,38260,38476,38362,38028,38357,38293,38578,38643,37583,38311,38385,38187,38110,38489,38457,38321,38509,38234,38612,38203,38317,38718,38681,38683,38480,38652,38634,38677,38765,38854,39160,39245,37684,38951,38809,38930,38765,38707,38959,38772,38867,39021,39196,39176,38270,38997,39017,39130,38958,38970,39161,39106,39039,39135,39336,39523,38528,39387,39291,39555,39385,39548,39698,39471,39789,39769,39887,40041,39228,39906,39977,40144,39857,39831,39981,39838,39970,38860,38536,38025,38174,38672,38735,38776,38853,38908,38814,39032,39165,39077,39448,39398,38512,39249,39295,39357,39257,39263,39421,39328,39524,39515,39815,39816,38929,39655,39678,39826,39674,39828,40027,40058,40177,40097,40316,39930,39991,40299,40318,40401,40272,40328,40128,40094,40338,40237,40389,40614,39938,40556,40530,40729,40585,40681,40630,40617,40744,40686,40898,40986,40381,40972,41056,41100,41077,41298,41261,41281,41479,41259,41664,41567,40956,41500,41483,41570,41651,41757,41623,41562,41805,41657,41919,41889,41227,41923,41920,41969,41860,41905,42095,41894,42126,42244,42475,42422,42018,42487,42428,42569,42614,42625,42866,42801,42882,42948,43162,43511,43016,43501,43382,43646,43493,43630,43848,43814,44027,44056,44135,44459,43839,44377,44443,44681,44414,44663,44701,44575,44873,44832,45151,44972,44923,45024,44893,44921,44985,45131,45203,45286,45415,45430,45628,45881,45500,46108,46057,45755,45487,45771,46024,46240,46494,46566
女性,5517,5631,5773,5724,5951,6006,6109,6372,6467,6622,6692,6808,6641,6784,6627,6922,7041,7030,7220,7439,7594,7618,7673,7689,7751,7436,7646,7691,7857,7845,7843,7899,7910,7893,7914,8054,7984,7825,8160,8214,8339,8330,8357,8384,8461,8509,8591,8808,8927,8621,8945,9033,9149,9069,9134,9260,9218,9341,9360,9552,9449,8844,9346,9406,9496,9499,9545,9497,9531,9701,9721,9876,10107,9391,10066,10079,10205,10171,10254,10214,10253,10466,10392,10655,10452,10294,10718,10779,10897,10903,11082,11270,11285,11385,11456,11631,11652,11218,11791,11864,11978,11969,12099,12306,12395,12465,12605,12762,12791,12365,13084,13076,13340,13391,13806,13926,13944,14257,14331,14596,14482,14486,14958,15038,15199,15264,15664,15939,16039,16262,16292,16451,16717,16175,16723,16793,17017,17050,17313,17539,17596,17817,17822,17991,18187,17743,18309,18413,18579,18524,18655,18745,18843,19068,19007,19310,19154,19246,19638,19738,19933,19921,20031,20201,20240,20402,20498,20780,20908,20383,20972,21131,21328,21360,21473,21612,21666,21863,21883,22202,22349,21947,22433,22546,22747,22636,22859,23073,23120,23256,23346,23596,23766,23426,23769,23906,24135,23984,24096,24226,24263,24441,24484,24707,24921,24463,25073,25326,25326,25318,25541,25387,25371,25600,25648,26021,25917,26088,26442,26605,26779,26611,26679,26629,26757,26809,26752,27034,27256,26729,27312,27571,27710,27723,27829,27906,27563,28094,28294,28854,28835,27978,28700,28692,28674,28863,28814,28806,28636,28947,28956,29228,29277,29022,29235,29072,29084,29570,30143,30509,29681,29876,30151,30288,30449,29601,30100,30412,30141,30266,30209,30640,30315,30259,30070,30724,30588,29939,30084,30205,30011,30469,31073,30527,30626,30581,30567,30994,30764,30820,30675,30740,30660,30657,30662,30666,30708,30803,30863,31049,31095,30554,31174,31193,31270,31208,31141,31178,31225,31287,31321,31647,31778,31388,31520,31574,31579,31633,31650,31773,31968,31853,31967,32240,32267,31990,32290,32336,32329,32544,32386,33204,32769,32660,32661,32734,32924,32600,32560,32796,32557,32521,32559,32388,32693,32381,31690,31543,31189,31409,31676,31761,31670,31894,31777,31834,31916,31987,32042,32550,32446,32028,32267,32500,32484,32620,32451,32498,32626,32759,32674,32930,32935,32606,32844,32990,32951,32913,32972,33142,33245,33269,33135,33404,33431,33389,33696,33769,33706,33678,33673,33464,33577,33493,33538,33747,33845,33681,33791,33932,33871,33953,33976,34132,34026,33989,34028,34253,34412,34247,34436,34580,34627,34853,35303,34848,35038,35020,34853,35327,35070,34926,35089,35261,35253,35566,35523,35478,35489,35610,35544,35860,35930,35626,36021,36092,36083,35972,36028,36049,35908,36142,36215,36512,36474,36281,36616,36775,36746,36659,36665,36771,36974,37076,37044,37517,37593,37481,37604,37648,37704,37731,37840,38206,38080,38033,38025,38235,38384,38109,38390,38507,38527,38549,38676,38951,38628,38719,38813,39279,39195,39165,39032,38797,38902,39117,39271,39493,39647,39545,39543,39763,40015,39825,39977,39985,39576,39369,39677,40060,40195,40366,40397
工業,6343,6396,6547,6614,6856,6962,7133,7344,7465,7649,7716,7868,8202,8466,8296,8541,8738,8728,8908,9093,9209,9356,9374,9472,9521,9482,9590,9631,9761,9750,9767,9753,9775,9760,9801,9999,9737,9628,10061,10175,10446,10428,10426,10573,10652,10680,10747,10976,11015,10469,11137,11213,11298,11188,11283,11395,11290,11530,11612,11797,11765,10897,11595,11681,11785,11714,11864,11840,11815,12070,12149,12337,12406,11328,12329,12353,12505,12383,12519,12501,12484,12773,12699,13004,12722,12432,13179,13217,13374,13310,13496,13642,13688,13809,13851,14149,14189,13438,14377,14473,14664,14643,14794,15112,15213,15402,15594,15857,15979,15049,16306,16274,16643,16587,16895,17235,17154,17497,17645,17909,17597,17537,18344,18390,18686,18633,19120,19364,19427,19715,19837,20065,20328,19129,20274,20383,20729,20600,21026,21396,21419,21796,21877,22065,22317,21270,22504,22593,22815,22737,22898,23174,23230,23651,23723,24134,23468,23753,24417,24459,24756,24606,24728,24925,24963,25220,25286,25765,25868,24316,25881,25852,26195,26044,26169,26295,26309,26507,26707,27012,26772,25711,27141,26973,27514,27096,27318,27618,27503,27723,27819,28018,28280,27076,28114,28189,28431,28142,28314,28410,28369,28662,28649,28876,29039,27580,29017,29094,29403,29127,29323,29388,29482,30103,30009,30203,29667,29188,29963,30087,30261,30157,30328,30283,30224,30301,30342,30686,30839,29469,30849,30944,31102,31060,31194,31206,30841,31464,31719,32008,31814,30386,31706,31762,31982,32038,32117,32120,32112,32326,32218,32321,31767,31775,32352,32083,32280,32092,32199,32328,31869,32338,32256,32337,32436,31022,32155,32245,32460,32092,32394,32321,32095,32560,32432,32693,32732,31595,32605,32625,32715,32421,32644,32704,32512,32869,32620,33048,32342,32714,33121,33100,33134,32960,33104,32995,33007,33321,33380,33671,33746,32022,33623,33481,33642,33502,33512,33774,33675,33952,34209,34302,34153,33290,34219,34120,34249,34129,34179,34421,34283,34364,34535,34664,34918,33580,34799,34621,34980,34560,34653,34690,34444,34978,34921,35035,35264,34108,35181,35133,35334,35025,35093,35240,35078,35183,33785,33113,32440,32735,33389,33487,33552,33711,33737,33620,33832,34070,34038,34300,34326,33250,34358,34254,34409,34323,34388,34469,34331,34559,34530,34701,34727,33699,34721,34627,34789,34628,34750,34946,34868,35058,35041,35163,34683,34927,35326,35201,35411,35114,35236,35165,35139,35492,35430,35497,35665,34777,35684,35571,35826,35573,35721,35648,35655,35895,35814,35924,35990,35334,36054,36065,36195,36056,36201,36361,36263,36514,36250,36513,36480,35751,36422,36371,36433,36458,36654,36648,36631,36871,36804,37039,36999,36195,37044,36897,37069,36859,36893,37133,36849,37124,37101,37305,37264,36915,37516,37401,37602,37583,37609,37870,37772,37792,37840,38042,38430,37756,38406,38247,38521,38410,38559,38676,38636,38814,38751,38822,39231,38634,39212,39193,39423,39144,39368,39329,39234,39479,39410,39642,39598,39563,39729,39622,39656,39686,39789,39838,39998,40087,40145,40312,40724,40329,40969,40868,40840,40904,41046,41146,41122,41254,41270
礦業及土石採取業,10987,8254,9940,10945,10998,12064,11924,11804,11693,12826,12538,11751,14417,16888,13440,13542,13757,13314,13960,14531,14154,15011,14987,15930,16227,13480,15319,15681,14808,14328,14249,14170,14453,15022,14972,15464,14918,11398,14031,14012,14159,14084,14495,14693,14654,15076,15556,16185,16555,12367,15650,15290,15683,14844,14645,14643,15257,15935,15860,16023,16563,13189,14911,15966,16365,15699,16078,15706,15737,16126,15813,16139,16518,12354,16007,16728,16513,15870,16374,16005,15804,16601,15990,17033,16168,14142,16563,16562,16696,16782,17044,17554,16797,17115,16965,17390,17711,15191,17699,17446,17886,17533,17996,18175,17733,18417,18726,19536,19376,16773,19448,18616,18971,19025,20368,20123,19774,20396,21285,21205,20401,20233,21206,21126,20685,20918,22344,22562,22689,23255,24044,24236,24476,22431,24501,24686,25432,25199,24273,24087,24245,24920,25162,25366,25377,23747,25492,25410,25699,25722,25636,25702,25874,26230,26968,27149,26303,26961,27322,27696,27941,26971,27348,27378,27782,29511,28558,28396,28899,26371,28625,30661,29705,28651,28726,28881,28691,30153,29982,29827,30636,28536,29983,30619,30805,30061,30134,30183,30333,30918,31965,32107,31764,31156,32551,31475,30920,30687,30918,30698,30823,31162,31816,32182,32013,30293,31886,32021,32754,32328,32570,32673,32835,32986,33052,33194,33133,32885,33270,33573,33428,33451,33684,33594,33793,33664,33805,34029,33794,33465,34415,35057,35003,34801,34594,34532,34750,35699,35770,35687,36284,35641,36137,36310,36111,36166,36240,36033,36472,36161,36131,36441,36085,36621,37364,36617,36921,36101,36696,36785,37937,38323,38605,38868,39301,38170,39040,38950,38836,38755,38907,38877,38783,39083,38908,39062,39209,38085,39287,39464,39884,39717,40163,39874,39260,39398,39536,39658,38815,39095,39643,39793,39985,39901,39577,39430,39150,39699,39918,39899,40362,38809,40433,40410,40535,40824,40158,40159,40034,40581,40608,40754,41012,40482,40946,40881,41016,40949,40895,40694,39948,39867,40193,40748,40745,40097,41008,40774,40777,40885,40943,40961,40442,40391,40124,39887,39973,39308,40291,40351,40561,39992,39644,39689,39251,39444,39562,39794,39807,40342,40381,40297,39998,40911,40828,40650,40705,40361,40721,40750,41185,40604,40535,40702,40855,41014,41167,41134,40609,40510,40147,40834,41093,40970,41309,41191,41378,41348,41450,41117,41335,41165,41345,41629,41358,41526,41970,41608,41345,41528,41775,41662,41638,42738,42436,42399,43025,42646,42571,43074,42777,42794,42835,42392,42384,43104,43350,43025,43256,42952,42966,42901,42533,42442,43133,43426,43222,43247,42965,43230,43334,42571,43163,42309,42220,42282,42807,42385,42561,42988,43014,42962,43250,42420,43170,42558,42589,42556,42518,42593,42274,42547,42684,42552,41894,41981,42818,42031,42062,42188,42401,42458,42446,42171,42128,42017,42492,41873,42349,42344,42179,42276,42946,42901,42844,42937,42993,42926,43134,42576,43068,43228,43029,43100,43290,42972,43064,43306,43268,42928,42662,42822,42927,42834,42451,42782,42859,42762,42329,42782,42645,42599,42943,42625,42897,42183,42313,42119,42426,41676,41733,42016,42485
製造業,5997,6134,6248,6244,6511,6561,6723,6948,7101,7271,7361,7454,7846,7990,7757,8038,8231,8169,8376,8574,8720,8818,8842,8882,9011,9066,9114,9107,9267,9274,9322,9325,9340,9408,9384,9551,9320,9288,9656,9753,9937,9876,9884,10045,10130,10172,10214,10430,10563,9954,10652,10726,10857,10721,10825,10942,10838,11076,11158,11350,11358,10502,11204,11282,11391,11330,11399,11375,11360,11639,11710,11920,12015,10971,11928,11946,12105,11962,12101,12102,12106,12399,12327,12626,12372,12051,12812,12861,13018,12964,13105,13253,13296,13439,13495,13760,13809,13081,13975,14084,14253,14225,14327,14664,14752,14956,15152,15376,15518,14567,15815,15796,16137,16061,16288,16634,16559,16845,16981,17265,16978,16866,17707,17762,18028,17975,18357,18617,18616,18862,18947,19219,19459,18348,19423,19534,19879,19738,20100,20427,20490,20809,20860,21108,21306,20417,21537,21655,21832,21696,21768,22003,22025,22490,22457,22864,22357,22451,23218,23209,23446,23250,23362,23559,23622,23815,23865,24326,24465,23123,24548,24478,24785,24615,24725,24941,24974,25243,25327,25658,25573,24666,25871,25760,26221,25826,25993,26334,26131,26436,26448,26613,26914,25993,26850,26910,27114,26814,27013,27090,27123,27420,27347,27667,27852,26589,27773,27843,28138,27820,28064,28132,28198,28955,28862,28951,28629,27975,28811,28957,29073,28924,29145,29029,28978,29092,29113,29455,29620,28553,29698,29797,29952,29907,30061,30056,29660,30324,30638,30917,30649,29472,30585,30745,30940,31043,31152,31143,31090,31342,31212,31329,31120,30771,31399,31189,31385,31191,31451,31595,31155,31553,31420,31502,31637,30494,31477,31492,31695,31336,31684,31625,31469,31861,31709,31961,32011,31124,31968,31904,31993,31768,32012,32041,31866,32180,31987,32456,31938,32161,32485,32436,32510,32319,32456,32373,32426,32724,32776,33029,33145,31811,32994,32872,33004,32863,32890,33184,33045,33308,33585,33565,33612,32884,33573,33536,33696,33548,33625,33804,33592,33767,33858,33954,34202,33270,34112,33979,34256,33881,34013,34150,33910,34397,34319,34407,34638,33872,34517,34553,34630,34382,34500,34610,34467,34452,32976,32094,31666,31758,32283,32402,32474,32612,32672,32605,32788,32995,32956,33232,33300,32612,33340,33263,33439,33331,33424,33543,33439,33622,33574,33736,33909,33136,33849,33768,33951,33795,33939,34052,33981,34129,34102,34245,34126,34178,34490,34418,34611,34333,34470,34435,34419,34703,34625,34651,34753,34231,34788,34746,34939,34709,34840,34866,34866,35103,35014,35168,35280,34728,35216,35280,35393,35216,35355,35516,35490,35688,35468,35706,35769,35247,35727,35735,35819,35774,35947,35987,35952,36214,36103,36311,36355,35875,36428,36327,36481,36285,36362,36610,36379,36702,36639,36825,36915,36618,37119,37056,37285,37191,37273,37525,37409,37478,37509,37699,38080,37593,38128,37995,38246,38155,38279,38354,38391,38465,38384,38491,38934,38547,38959,38990,39157,38960,39087,39109,39037,39205,39144,39327,39449,39307,39432,39384,39430,39409,39453,39575,39675,39795,39813,39953,40456,40170,40632,40619,40712,40743,40884,40989,40987,41159,41167
電力及燃氣供應業,11360,10673,11331,12153,11118,11580,14316,14379,14367,14323,13952,14157,16148,16063,15629,15386,15324,15414,17808,18066,18033,18237,17770,17901,18311,18291,17962,18215,18228,18208,18164,17697,18091,18039,17992,18091,18272,18172,18092,18264,18271,18515,18323,18334,18361,18276,18286,18325,18375,18504,18664,18647,18424,18448,19634,19888,19638,19815,19811,19768,20176,19556,20198,20230,20180,20197,22432,22535,22525,22496,22542,22531,22840,22455,22887,22882,22872,22893,22871,22648,21940,22626,22629,22567,22983,23172,22982,23032,23098,23205,24457,24471,24730,24435,24646,24591,25030,25059,25065,25102,24673,24611,26459,26543,26628,26647,26633,28645,28627,29475,29009,29116,29891,29442,32648,32685,32551,33237,33312,33238,33642,33602,33879,33757,33728,33748,33754,33890,38176,38121,37914,37972,38771,39603,39049,38547,38514,38712,39087,39146,39185,41431,41303,41207,41972,41947,42005,41834,41856,41855,41389,41549,41169,41061,43507,43773,44481,44466,44515,44443,44406,44372,44331,44567,44611,47840,47840,47818,48308,48563,48350,48460,48459,48473,48383,48616,49963,49954,49867,49841,50591,50565,50668,50486,50443,50214,50297,50248,53285,52928,52825,53242,53274,53561,53346,53584,53456,53400,53462,53375,53358,53402,53354,54275,55557,55751,55357,55804,55593,55521,55176,55538,55686,56947,56244,55456,57496,57583,57808,57736,57792,57737,57835,57888,58039,58113,57820,57767,58531,59755,60245,60234,60223,60234,60008,59903,60142,60341,59700,59732,60682,60876,60692,60299,61340,60726,60783,60890,60765,61001,60672,60868,61377,61409,61146,61645,61179,61191,60313,60638,60597,61303,60586,60916,61616,62481,62316,62293,62104,62307,62384,62477,62438,62627,62407,62148,62819,62822,63052,62846,62847,62826,63049,63181,63140,63386,63110,62955,64098,64009,63996,63762,63962,63818,64365,63921,63829,64030,63807,63715,64698,64023,64975,64311,64228,64277,64075,64090,64040,64434,64147,65498,65572,65913,65989,65946,65878,65816,65767,65838,65514,65698,65161,65598,64683,65630,66512,66464,66085,65614,65386,65510,65354,65605,65369,65540,65165,66692,66779,66284,66026,65606,65087,64062,64564,64491,63668,64588,64836,65079,65021,65260,64496,64672,64831,64450,64532,64531,64411,64569,65126,65455,65481,65382,65129,65098,65124,65216,65155,65152,65481,65126,65759,65943,65913,65985,65637,65785,65651,65721,65902,66641,66711,66839,67257,67346,67268,67367,67225,67241,67215,67255,67193,67276,66744,66836,67173,67074,67355,67261,66863,67140,67077,67024,66962,66913,66859,66937,67616,67087,67458,67389,66765,66510,66743,66551,66528,66557,66544,66789,66452,66762,66699,65680,66121,66070,65870,65825,65734,65683,65678,65927,66410,66391,66356,66257,65320,64891,64872,64006,64354,64178,64065,64301,64749,64620,64044,64508,63320,64288,64227,64120,63907,63897,63756,63970,64273,64617,64161,64426,62779,64276,64144,65566,65505,65532,65477,65279,66193,65788,65844,64466,65264,65181,65103,65167,64746,64832,64719,64066,64816,64987,64813,64493,64410,64789,64440,64930,64785,64800,64549,64563,65075,65146,65161,65190,63700,64404,63820,63941,63831,63800,63791
