90-94歲,女,1476,1482,1538,1772,1913,2052,2268,2399,2532,2695,2838,3167,3489,3858,3549,4143,4380,4335,4740,5378,5899,6096,6819,7066,7952,8546,8558,9454,9484
95-99歲,男,154,194,199,202,261,297,271,330,356,389,414,419,468,566,566,679,862,948,1069,1211,1344,1399,1627,1784,2137,2349,2560,2763,2888
95-99歲,女,323,349,367,415,492,505,518,601,690,736,748,834,863,1013,1029,1184,1491,1521,1689,1816,1972,2086,2250,2419,2848,3134,3359,3576,3702
10-14歲,男,413,444,390,391,319,252,272,281,196,193,162,157,150,164,173,135,130,157,126,127,122,117,109,89,95,88,93,57,67
10-14歲,女,254,257,238,241,214,197,168,224,144,119,111,131,126,119,99,82,87,93,88,77,74,87,67,53,55,61,50,63,44
嬰兒(滿四週至未滿一歲),男,617,555,545,579,562,545,469,423,417,378,306,250,287,220,217,205,205,184,157,159,173,174,188,199,150,145,159,142,123
嬰兒(滿四週至未滿一歲),女,458,454,398,455,478,462,397,318,334,316,274,231,236,201,172,166,154,142,119,143,149,134,115,143,156,141,119,116,76
新生兒﹝未滿四週﹞,男,355,322,395,613,621,578,546,554,575,486,416,325,359,343,307,342,291,233,246,293,312,252,258,291,289,267,257,237,210
新生兒﹝未滿四週﹞,女,234,229,298,473,508,486,372,426,463,379,329,299,265,262,247,246,247,219,183,237,226,207,200,248,216,219,217,176,177
5-9歲,男,303,313,283,263,244,215,208,247,182,188,148,187,132,144,129,114,106,145,97,81,81,72,78,58,64,54,54,58,46
5-9歲,女,224,209,181,159,180,163,165,211,134,131,115,127,116,111,88,97,84,97,60,54,73,71,69,36,52,46,47,44,37
一歲,男,186,186,171,151,170,172,176,148,114,122,110,93,79,74,60,60,56,46,38,45,42,48,39,43,41,32,38,27,31
一歲,女,155,157,133,126,154,141,137,128,94,74,92,67,65,57,48,47,55,36,32,37,32,28,30,28,22,29,26,24,28
三歲,男,125,96,82,76,74,77,74,85,66,63,47,53,43,41,41,24,35,25,29,32,29,11,15,24,26,12,16,23,15
三歲,女,65,70,58,62,59,66,55,51,49,48,33,47,40,26,19,20,24,31,19,13,19,13,18,15,12,9,17,10,6
100歲以上,男,40,37,32,38,38,43,54,64,70,48,59,81,65,64,74,107,111,121,134,183,203,211,349,332,392,382,470,478,506
100歲以上,女,44,53,69,75,65,79,118,103,99,125,121,138,140,153,181,181,218,234,313,339,350,399,494,504,556,630,667,666,769
二歲,男,130,127,124,113,91,107,119,116,82,70,68,68,57,58,46,32,49,36,28,26,24,15,27,27,22,18,25,24,15
二歲,女,118,111,75,89,96,83,84,61,66,58,70,53,45,44,28,28,35,29,28,34,25,20,23,25,22,12,21,15,15
四歲,男,76,70,86,74,60,58,72,65,43,58,46,37,32,46,31,35,29,32,14,20,19,21,14,15,15,15,12,12,12
四歲,女,60,54,47,54,38,48,40,59,44,30,40,21,35,35,22,15,22,17,15,20,22,9,11,3,17,14,15,13,11
